epoch,accuracy,loss,lr,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.18745535612106323,1.9559038877487183,0.001,0.1342281848192215,0.0028575509786605835,0.20800000429153442,1.8852509260177612,0.0,0.0
1,0.20002856850624084,1.8757435083389282,0.001,0.0,0.0,0.20200000703334808,1.8515063524246216,0.0,0.0
2,0.20174311101436615,1.8384015560150146,0.001,0.0,0.0,0.20000000298023224,1.8169282674789429,0.0,0.0
3,0.20531503856182098,1.802785873413086,0.001,0.0,0.0,0.20000000298023224,1.7863185405731201,0.0,0.0
4,0.20488640666007996,1.7711652517318726,0.001,0.0,0.0,0.20000000298023224,1.7548677921295166,0.0,0.0
5,0.20445777475833893,1.7460383176803589,0.001,0.0,0.0,0.20000000298023224,1.7311064004898071,0.0,0.0
6,0.20017145574092865,1.7206696271896362,0.001,0.0,0.0,0.20000000298023224,1.7076607942581177,0.0,0.0
7,0.205743670463562,1.6977654695510864,0.001,0.0,0.0,0.20000000298023224,1.688775658607483,0.0,0.0
8,0.1947421133518219,1.6842914819717407,0.001,0.0,0.0,0.20000000298023224,1.674307107925415,0.0,0.0
9,0.1977425366640091,1.6689926385879517,0.001,0.0,0.0,0.12800000607967377,1.6609946489334106,0.0,0.0
